# date irTemp ambientTemp pressure humidity acceleration(x y z) magnetometer(x y z) gyroscope(x y z)
2014-5-23T17:14:56.914 32.97 28.63 0 29.29 0.39 -0.58 0.67 -6.90 3.81 -0.43 0 0 0
2014-5-23T17:14:57.916 25.68 28.66 814.39 29.29 0.39 -0.58 0.67 -6.90 3.81 -0.43 1.63 10.73 -1.46
2014-5-23T17:14:58.918 25.68 28.66 814.39 29.29 -0.09 -0.73 0.72 -6.90 3.81 -0.43 1.63 10.73 -1.46
2014-5-23T17:14:59.919 25.68 28.66 807.24 29.29 -0.09 -0.73 0.72 -4.27 -2.01 -4.21 1.63 10.73 -1.46
2014-5-23T17:15:0.921 33.79 28.69 807.24 29.29 -0.03 0.06 1.02 -4.27 -2.01 -4.21 2.26 1.86 -0.14
2014-5-23T17:15:1.924 33.79 28.69 807.24 29.29 -0.03 0.06 1.02 -10.44 3.54 8.42 2.26 1.86 -0.14
2014-5-23T17:15:2.926 26.52 28.72 778.32 29.29 -0.03 0.06 1.02 -10.44 3.54 8.42 2.15 1.64 -0.14
2014-5-23T17:15:3.928 26.52 28.72 778.32 29.29 -0.03 0.08 1.02 -10.47 3.60 8.54 2.15 1.64 -0.14
2014-5-23T17:15:4.930 26.52 28.72 800.07 29.29 -0.03 0.08 1.02 -10.47 3.60 8.54 2.35 1.88 -0.11
2014-5-23T17:15:5.932 26.61 28.72 800.07 29.37 -0.03 0.06 1.02 -10.47 3.60 8.54 2.35 1.88 -0.11
2014-5-23T17:15:6.936 26.61 28.72 763.91 29.37 -0.03 0.06 1.02 -10.44 3.57 8.33 2.35 1.88 -0.11
2014-5-23T17:15:7.938 26.78 28.75 763.91 29.37 -0.02 0.08 1.03 -10.44 3.57 8.33 2.43 1.73 -0.01
2014-5-23T17:15:8.939 26.78 28.75 763.91 29.37 -0.02 0.08 1.03 -10.53 3.66 8.24 2.43 1.73 -0.01
2014-5-23T17:15:9.941 27.62 28.78 771.21 29.37 -0.02 0.08 1.03 -10.53 3.66 8.24 2.22 1.72 -0.21
2014-5-23T17:15:10.945 27.62 28.78 771.21 29.37 -0.02 0.06 1.00 -10.53 3.66 8.24 2.22 1.72 -0.21
2014-5-23T17:15:11.947 27.62 28.78 735.02 29.37 -0.02 0.06 1.00 -10.47 3.42 8.00 2.25 1.81 -0.03
2014-5-23T17:15:12.949 28.41 28.81 735.02 29.37 -0.03 0.06 1.03 -10.47 3.42 8.00 2.25 1.81 -0.03
2014-5-23T17:15:13.951 28.41 28.81 727.80 29.37 -0.03 0.06 1.03 -10.56 3.63 8.24 2.25 1.81 -0.03
2014-5-23T17:15:14.955 28.30 28.81 727.80 29.37 -0.03 0.06 1.03 -10.56 3.63 8.24 2.37 1.75 -0.16
2014-5-23T17:15:15.958 28.30 28.81 727.80 29.46 -2.00 0.86 1.98 -14.04 12.60 -1.86 2.37 1.75 -0.16
2014-5-23T17:15:16.960 28.30 28.81 698.86 29.46 -2.00 0.86 1.98 -14.04 12.60 -1.86 8.87 -0.32 1.89
2014-5-23T17:15:17.963 29.91 28.84 698.86 29.46 -0.02 0.06 1.03 -14.04 12.60 -1.86 8.87 -0.32 1.89
2014-5-23T17:15:18.966 29.91 28.84 727.86 29.46 -0.02 0.06 1.03 -4.39 1.59 -11.17 8.87 -0.32 1.89
2014-5-23T17:15:19.969 27.70 28.88 727.86 29.46 -0.03 0.05 1.02 -4.39 1.59 -11.17 2.40 1.86 -0.34
2014-5-23T17:15:20.969 27.70 28.88 727.86 29.46 -0.03 0.05 1.02 -9.06 4.27 6.68 2.40 1.86 -0.34
