# date irTemp ambientTemp pressure humidity acceleration(x y z) magnetometer(x y z) gyroscope(x y z)
2014-5-24T23:3:59.769 2.45 0.00 389.99 24.76 -0.05 0.33 0.91 0.00 0.00 0.00 2.91 0.70 -1.06
2014-5-24T23:4:0.777 27.34 24.38 389.99 24.76 -0.05 0.33 0.91 -6.04 21.00 -3.69 2.83 0.69 -1.12
2014-5-24T23:4:1.785 25.62 24.38 375.50 24.76 -0.05 0.33 0.91 -6.04 21.00 -3.69 2.86 0.89 -1.22
2014-5-24T23:4:2.793 26.97 24.41 375.50 24.76 -0.06 0.33 0.89 -6.07 20.63 -3.23 2.91 0.66 -1.07
2014-5-24T23:4:3.800 27.04 24.41 382.74 24.76 -0.05 0.31 0.89 -6.07 20.63 -3.23 2.37 0.90 -1.13
2014-5-24T23:4:4.807 27.02 24.41 382.73 24.76 -0.05 0.33 0.91 -6.16 20.81 -3.39 2.74 0.75 -1.20
2014-5-24T23:4:5.815 27.08 24.41 397.22 24.76 -0.05 0.34 0.89 -6.16 20.81 -3.39 2.76 0.79 -1.13
2014-5-24T23:4:6.824 27.08 24.41 397.23 24.76 -0.06 0.31 0.89 -6.16 20.97 -3.14 2.78 0.76 -1.17
2014-5-24T23:4:7.831 27.11 24.41 411.72 24.76 -0.05 0.34 0.91 -6.16 20.97 -3.14 2.89 0.71 -1.26
2014-5-24T23:4:8.839 27.15 24.41 411.72 24.76 -0.05 0.33 0.89 -6.07 20.81 -3.60 2.66 0.90 -1.19
2014-5-24T23:4:9.845 27.15 24.41 411.72 24.76 -0.05 0.34 0.91 -6.07 20.81 -3.60 2.61 0.85 -1.16
2014-5-24T23:4:10.853 27.13 24.41 389.99 24.76 -0.06 0.30 0.88 -6.07 20.54 -3.20 2.98 0.97 -1.26
2014-5-24T23:4:11.860 27.20 24.41 389.98 24.76 -0.05 0.33 0.89 -6.07 20.54 -3.20 2.69 0.71 -1.16
2014-5-24T23:4:12.868 27.06 24.41 389.98 24.76 -0.05 0.33 0.91 -6.07 20.94 -3.66 2.67 0.71 -1.05
2014-5-24T23:4:13.876 27.22 24.41 389.99 24.76 -0.06 0.33 0.89 -6.07 20.94 -3.66 2.76 0.63 -1.18
2014-5-24T23:4:14.883 27.11 24.41 404.48 24.76 -0.06 0.33 0.89 -5.89 20.90 -3.78 2.84 0.52 -1.27
